Unnamed: 0,Unnamed: 0.1,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
31,31.0,AaveV2,ec6877.eth,0xa97d4048b71975a475766e8278dcd2da1e8674fa,FOR,1.3437371579108888e+16,16046973,1669378967,0xc35688283e24467f4796a7fc63e76f9068eb21679aa8befced3f5a52bb348f34,0.013437371579108888,1.3437371579108888e+16,1.0,120,EXECUTED,320000000000000000000000,138559,125394,10,189,0,199,925566334431944141,521134091380543240733815,0,521135016946877672677956,1669088651,16030143.0,16049343.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,8e-10
32,32.0,AaveV2,ec6877.eth,0xa97d4048b71975a475766e8278dcd2da1e8674fa,FOR,1.3437371579108888e+16,16046991,1669379183,0x88945a965265a0daf8afc175bcb3af7a5a838a6c9777138c41f98c3c88310878,0.013437371579108888,1.3437371579108888e+16,1.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,8e-10
33,33.0,AaveV2,ec6877.eth,0xa97d4048b71975a475766e8278dcd2da1e8674fa,FOR,1.3437371579108888e+16,16047001,1669379303,0x5f1c823a078db2d94b103a0d7dd0bdce88efd46195434ad1478d5823cae9d839,0.013437371579108888,1.3437371579108888e+16,1.0,122,EXECUTED,320000000000000000000000,138858,125687,18,151,0,169,14056839166924856266,566995654574388015658020,0,567009711413554940514286,1669172807,16037108.0,16056308.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,8e-10
34,34.0,AaveV2,,0xd116d081702a92c28feec78b354a984ddbfa150f,FOR,3.56723e+19,16047047,1669379855,0x7b196538408692f9d69aeb3d4e1fa232d712f7658ee9e49daad8cede39c289dd,0.0,0.0,0.0,122,EXECUTED,320000000000000000000000,138858,125687,18,151,0,169,14056839166924856266,566995654574388015658020,0,567009711413554940514286,1669172807,16037108.0,16056308.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.2295e-06
35,35.0,AaveV2,,0xd116d081702a92c28feec78b354a984ddbfa150f,FOR,3.56723e+19,16047054,1669379939,0x67819e9271d5739549ad8139b1c798ab09246c1f08a204df2daf468e0a9a1536,0.0,0.0,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.2295e-06
36,36.0,AaveV2,,0xd116d081702a92c28feec78b354a984ddbfa150f,FOR,3.56723e+19,16047063,1669380047,0x643408fe825d0294acba86679d5739dd59a3ec1724f23f8bd9b4d8bd07a1b01b,0.0,0.0,0.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.2295e-06
37,37.0,AaveV2,,0xd963697bbd3d12b0d8b96b06eb73663f3a884443,FOR,2.50362768839662e+16,16047191,1669381595,0x5a87e00f327e429de1b1b922a5ab8dcaaf7a5ae4600d2ecf3112de47b1995345,0.0250362768839662,2.50362768839662e+16,0.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,1.6e-09
38,38.0,AaveV2,project-moon.eth,0x6b49c89dc6480094c234a0db749de8649d44b1fa,FOR,1.4629130255822893e+17,16047253,1669382339,0xaee5f3bee8fb7aa6e9c72ce54c4e69c171f239d3ee8390afc0b028e49d2a47f6,0.07629130255822894,7.629130255822893e+16,2.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,9.1e-09
39,39.0,AaveV2,yakiko.eth,0xe6a630eacdc5a3621cbaf81c401fc34b4a7e4656,FOR,1.1e+17,16047266,1669382495,0xef1b5dc4c2bfda6ca6694b42b32b7e895c859c1de94563ed8e08676f4116134d,0.11,1.1e+17,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,6.9e-09
40,40.0,AaveV2,疯狂星期4.eth,0x1d0b13f1f65ca4b9075499a853407857836ba0f7,FOR,5e+16,16047285,1669382723,0xfa23d5b1df180422d7dffa25c4a7e47b572ac98ea395ca22182edf5c55d235d2,0.05,5e+16,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,3.1e-09
