id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
147-19266,57,1,58,1664655563,15655640,147
147-19267,87,1,88,1664749211,15663409,147
147-19268,140,1,141,1664787923,15666617,147
149-19270,0,1,1,1665002543,15684358,149
149-19271,3,23,28,1665087155,15691368,149
150-19271,7,0,7,1665099371,15692381,150
150-19272,116,1,117,1665184727,15699440,150
150-19273,131,1,132,1665248879,15704765,150
150-19274,171,2,173,1665292535,15708386,150
151-19272,59,6,116,1665183551,15699342,151
151-19273,71,6,129,1665272591,15706731,151
151-19274,94,8,155,1665358295,15713836,151
151-19275,112,8,173,1665377051,15715395,151
15-18938,7,0,7,1636256962,13567079,15
15-18939,21,0,21,1636400313,13577650,15
15-18940,29,0,29,1636481054,13583636,15
152-19278,59,0,59,1665697703,15741971,152
152-19279,188,0,188,1665791771,15749770,152
152-19280,203,0,203,1665876155,15756771,152
154-19281,2,0,2,1665959003,15763633,154
154-19282,39,0,39,1666045631,15770803,154
154-19283,106,0,106,1666136795,15778369,154
154-19284,163,0,163,1666160123,15780299,154
155-19284,27,0,27,1666221011,15785341,155
155-19285,88,0,88,1666299695,15791863,155
155-19286,172,0,174,1666387091,15799114,155
155-19287,205,0,207,1666436207,15803192,155
156-19285,11,0,11,1666291259,15791165,156
156-19286,116,0,118,1666392539,15799566,156
156-19287,181,0,183,1666444415,15803874,156
157-19285,4,8,12,1666286471,15790768,157
157-19286,27,22,50,1666387535,15799151,157
157-19287,32,51,84,1666481027,15806906,157
157-19288,32,68,101,1666501019,15808564,157
158-19286,7,3,11,1666387607,15799157,158
158-19287,10,14,25,1666470107,15806003,158
158-19288,14,16,31,1666569011,15814200,158
158-19289,14,65,80,1666594235,15816284,158
159-19287,3,0,3,1666481075,15806910,159
159-19288,16,9,25,1666569095,15814207,159
159-19289,41,24,65,1666593887,15816255,159
161-19287,35,0,35,1666481315,15806930,161
161-19288,46,0,46,1666569167,15814213,161
161-19289,79,0,79,1666594163,15816278,161
16-18939,15,0,15,1636402396,13577798,16
16-18940,21,8,29,1636481095,13583640,16
16-18941,27,8,35,1636529481,13587162,16
162-19288,8,0,8,1666563383,15813736,162
162-19289,24,0,24,1666592663,15816155,162
17-18949,27,0,27,1637268875,13641608,17
17-18950,38,0,38,1637355630,13647781,17
17-18951,43,0,43,1637451830,13654853,17
17-18952,46,0,46,1637461645,13655536,17
18-18949,27,6,33,1637266135,13641376,18
18-18950,28,6,45,1637355581,13647778,18
18-18951,29,6,46,1637443787,13654238,18
18-18952,34,6,51,1637471229,13656225,18
