Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,1.0086188747273634e+22,,13350810,1633326216,0xb7cebefd6ad47db9f7764d497d16c5faafddf915e75f0683ef6b4ddc6e222038,0x1018142957a9509f0f0f69c1d380a369ace15db3,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.0086188747273634e-05
FOR,5.072463663963857e+18,,13358118,1633424091,0x591e9f278e5ed6184a17b6732efe63613e0edb74671a52075df48bc957205eed,0x11327d82b182ff93fea4b46bd3c2e6113458db8f,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,5.072463663963857e-09
FOR,2.672037829781977e+17,,13384691,1633784476,0x4794ff9d596912f582482628f4a20807ac47044ff164f55168dc96ad0a4ae7dc,0x11e4dc99e42a51f359ae813f504cbcc502a25a4d,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,2.672037829781977e-10
FOR,1.00276e+21,,13369336,1633576043,0xec1c94ed098b0357ad2c282c358af816dc630844c1175354942ec235439d237c,0x12327cdc593051711735abb4224115d80898960a,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.00276e-06
FOR,3.48063e+21,,13396288,1633941512,0x31decc17dc952fb2f5abdf3f50ecb7e47193db8a1ec35942f60f4ac3c26d3b07,0x123a896f4447c7efb3ce828d55ceee6e7ee95f24,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,3.48063e-06
FOR,1.112723e+22,,13349951,1633314066,0x21ffba9848d7b98c5d70230071d08de102fb4139a17f960ea31f50e290485f66,0x1244a90e4330ba8a41751baa1538c1fcee6d0d37,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.1127230000000001e-05
FOR,43678084685187.0,,13397128,1633953175,0xb746d4a09002031d644aa5c4de1ac3637839f77ff09fea17d4fd76af39a7e300,0x12b5c9191e186658841f2431943c47278f68e075,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,4.3678084685187e-14
FOR,1.1644252608774472e+21,,13403183,1634035850,0xba33d49070e470abc6479d9a386d0ff29bd4600b7015b6a8fca68afe4b72f051,0x12ba829f00bf9d676aa15531f848a42e3838e357,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.1644252608774471e-06
FOR,6.41391e+21,,13352418,1633348250,0x723f17dd8774c674b93450c2a692d089c44724cc50529f2024a7f8565aa2e0c6,0x12ef2cd4231d5cf655a6cdd4ac1524ffaa439c17,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,6.41391e-06
FOR,0.0,,13415175,1634198733,0xa8bc06618ef62c47cf6bb6d84391c0d6cc912cd06c2b3f4b5739e21ebdae988b,0x137b4291c7f02b9f04d21112ce7b14bd4893a496,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,0.0
