txnHash,delegateChange,delegateVotingPowerChange,transfer,from,to,previous,amount,flag
0xb01ef0fc0fcb4aea246599774aadefc853b6782f049eff4d86bf7525b032c714,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8191020631289544126858412', 'newBalance': '8205150136342593005415956'}]","{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': [['0xBa625B318483516F7483DD2c4706aC92d44dBB2B', Decimal('14129505053048878557544')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('14129505053048878557544')},0
0x894ecde6392122bc70694995aae73935b38ab39763122fbc836bb1ac88ed055b,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '23395331215385602247658', 'newBalance': '31254133041036194909647'}]",{},,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('7858801825650592661989')},0
0xfd531afc2d8e8fae1b7c26d2763807b05057749d13909a1426a5a47a60b31bb7,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '31254133041036194909647', 'newBalance': '31258715184862155856221'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0xC5B3B2537499e3943C9A359886193F3F89EdDc6a', Decimal('257121895952851741221')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('4582143825960946574')},0
0xbb8f30e3420e2125f2ad4904a2a9912b8195a28c25782dddea5a17fbbfb4c57b,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '319012758008750277791276180', 'newBalance': '319199626457889464146052274'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('186868449139186354776094')},0
0x203159c8b5d4822ba99a386e0b26b0b610c678f417ef34ccc20e8e2cc4520aa7,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8205150136342593005415956', 'newBalance': '8206309849689112871006849'}]","{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': [['0xBa625B318483516F7483DD2c4706aC92d44dBB2B', Decimal('1159713346519865590893')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('1159713346519865590893')},0
0xd9e3b5b107523977160acec05a289eaa27b81c2fba2297086df0f19f78159d63,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8206309849689112871006849', 'newBalance': '8284366837563740472595126'}]","{'0x1f4c763BdE1D4832B3EA0640e66Da00B98831355': [['0xCF263cEe139763114fAaFC5F52865135412F50Ec', Decimal('14409427373088652753897')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('78056987874627601588277')},0
0x4a5b6dc06737b6135e00a9a5e2c43aaf0f042c21545299d4917d89c13625d741,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '319199626457889464146052274', 'newBalance': '319099626457889464146052274'}]","{'0xfdA462548Ce04282f4B6D6619823a7C64Fdc0185': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('100000000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-100000000000000000000000')},0
0x97589c63bac35cadf674076a3d8b64bb5716fadb0569f9579378e667e3e98e49,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '31258715184862155856221', 'newBalance': '31263001086756852262182'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0xC5B3B2537499e3943C9A359886193F3F89EdDc6a', Decimal('326382208606981034137')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('4285901894696405961')},0
0x32a20935a2d6a50fb4eea21724b16a98f0818fb6102c74c2cd9de8bf282b820b,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '31263001086756852262182', 'newBalance': '34829407598859577796190'}]",{},,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('3566406512102725534008')},0
0xc2c4c3495e35f8a9cf52091cd334c8847ab58d236ea187fe6271247ad22801c6,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '319099626457889464146052274', 'newBalance': '319284975199100106602011653'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('185348741210642455959379')},0
0xa86ad384aed38a4290f2c56af5c102a3c5b7a8131d330e829459fb612cb40195,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8284366837563740472595126', 'newBalance': '8290276746548205248173015'}]","{'0x617c34A9B6F080a0f25988DB6C903a8348D41081': [['0xAC9978DB68E11EbB9Ffdb65F31053A69522B6320', Decimal('713533329867507217801')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('5909908984464775577889')},0
0x6138f43736ff7529b794d40a1ae42ac0a418ecc304fec02c91f19a5c6fb52e70,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8290276746548205248173015', 'newBalance': '9388735650657794289268906'}]","{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': [['0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', Decimal('1098458904109589041095891')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('1098458904109589041095891')},0
0x77587dbb8f0856ee5564e50901ed3ef430c67fdf8eaf4172918f2dd4a613e3c3,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '319284975199100106602011653', 'newBalance': '319458230763252197606237848'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('173255564152091004226195')},0
0x3ac50dc0f615a2f28df1312d348e4261ecd30ea70db6205b6fed6130045fafee,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '34829407598859577796190', 'newBalance': '39750766631289140692580'}]",{},,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('4921359032429562896390')},0
0xa0294da87381059cb442d0a8a45aa51f518951718a8d25a51432d220c59f45c0,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '319458230763252197606237848', 'newBalance': '319622716117178367644321391'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('164485353926170038083543')},0
0x1589391ab372f810c494ef9c46be06b011224e57a94ecf2cece77b40a30773f5,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '39750766631289140692580', 'newBalance': '39758198303281383741641'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0xC5B3B2537499e3943C9A359886193F3F89EdDc6a', Decimal('564960579398325387209')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('7431671992243049061')},0
