txnHash,source,value
0x3ed18522b19e3c801b19eae891760d17fa575417a448ff85d000a05d1c51e3d2,"['dvpc', 'transfer']","[nan, '875299880719043519107']"
0x3f3c7c9a945c60d3b83d88eb21ff0800d77d06a54bc16ecd048c07c5fc94ce88,"['dvpc', 'transfer']","[nan, '360847919837645865043125']"
0x401d07a5bbd62f86ec673120b15f233002f0498cc87d95419b412518b13176bc,"['dvpc', 'transfer']","[nan, '1002054794520547945205479']"
0x40c084518ec13d370fb7677b932e9cc0afb5448944a75e5e199ec647232c7853,"['dvpc', 'transfer']","[nan, '94732746665524748761864']"
0x40c655fa9562169f219ad4772a4ade91d0fdfd3aec93225ef46cc653b0c0ed7e,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '200000000000000000000000', '200000000000000000000000']"
0x42c77eca172ea78dbf20343f8a31303e6fede38c9fe24747d8c5f1c07642b3c7,"['dvpc', 'transfer']","[nan, '45971613394216133942161']"
0x43106e58efa72ce9b05287f32e8da35c6d02847263a95150fcd69d9aeb2132e2,"['dvpc', 'transfer']","[nan, '100000000000000000000000']"
0x44911f4600349e555ba69811500fbd53bdb05fa016ef4b351b93d9b586b22b1c,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '28240000000000000000000', '28240000000000000000000']"
0x449baf4376dc7da8f87ac0bda671dfb80a3fea331f47cabd7a465c3eca08e49c,['dc'],[nan]
0x44ef43cf4011bf03dc8ddd989ef4621f1be59f7196b6dada79b8ac7a1714b8a8,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x452118ca211ad0148a3db22957e772e13ab47cd35450790214cefda744fbdb65,"['dvpc', 'transfer']","[nan, '199312893101867348330911']"
0x45f84ff0e7d96476415a50514c00ff33e4c202e08ca1377f8e614204fee9782c,"['dvpc', 'transfer']","[nan, '12499999000000000000000000']"
0x465fa26ca9e8a3c94fc503dd5ff6621c60871535848e0603359872a662061796,"['dvpc', 'transfer']","[nan, '159952560000000000000000']"
0x46b1b1117007f1bfe3111633ee0809548037d613c3d9b51ff4095bacdfed7fed,"['dvpc', 'transfer']","[nan, '5214238454830696580183']"
0x4781d2f0f7b8e639744c783cc006b8ec1b576146ac66b7bf4c7161d00f23b34c,"['dvpc', 'transfer']","[nan, '1460000000000000000']"
0x487030ecb758ff1d1ce5b0c245494c5367921b6566f04a7ac18f0ec12f2e6f36,"['dvpc', 'dc']","[nan, nan]"
0x490436f4452b71c937e29721dd58a1df3e384efea94cea26467a06e0be3d4db5,['dc'],[nan]
0x4a5b6dc06737b6135e00a9a5e2c43aaf0f042c21545299d4917d89c13625d741,"['dvpc', 'transfer']","[nan, '100000000000000000000000']"
0x4a879f5532d1462a8123121241d46b088c14ac1c3a2141b5a789433a8dfb9de1,"['dvpc', 'transfer']","[nan, '46190153877337765525194']"
0x4ac6640cb0c4b715242184268c10c96718a70d2f72ae5916b6987db9664363cf,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '28000000000000000000000', '28000000000000000000000']"
0x4adf72504d9790cb6762e9df1b8588e187f0a0811c9ab14e3ceb02ff6b447421,"['dvpc', 'transfer']","[nan, '97321028493353900000000']"
0x4b048d09604b4104c121ff3bca12d8daaef42d95d3361e5a0a1143e32056a6e3,"['dvpc', 'transfer']","[nan, '187009720000000000000000']"
0x4d5bcda537ab3d457fa245f3f79f4f8746f6d4b1f65a0e41317feb47e585c2b2,"['dvpc', 'transfer']","[nan, '1000000000000000000000000']"
0x4d94db4e9c7c0974ed4560ce09c6978f20843df20a0565ef88299cc4f1064f39,"['dvpc', 'dc']","[nan, nan]"
0x50525bc324bbb84f85b4e7530dc1bdf959b57e9679f3739df71eb62123ff1e52,"['dvpc', 'transfer']","[nan, '4267283759691865381363098']"
0x516601298c6edaff6045456dfd878cf5412b5fc77d1cddf328721e778a635e2e,"['dvpc', 'transfer']","[nan, '56921002434574715410999']"
0x535b6aa03213f98ef9abb71ff52195705c5bea5518e399674d8e1bfde326d120,"['dvpc', 'transfer']","[nan, '50000000000000000000000']"
0x5411d048ff177382a0a305b17798e8a5ce0dd37b894ebe805230ec526573ebcd,"['dvpc', 'transfer']","[nan, '17963813000000000000000000']"
0x54a491c21cc6fddf7e77c1a69c88a6c2db80b78fbdeb8cfc5c3a61658147e9e5,"['dvpc', 'transfer']","[nan, '880315972180520969199501']"
0x5526aa8c9f58c69e6f3c9b4520578e1c439ddf34514c16d8ca26520b97fd59da,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x55987928351fd74f83909ef9aa5f235d55e1e5f4526062b67710efd9798dcede,['dc'],[nan]
0x56de8d9b075ca4c9e23b8650b8575e7bd3c603c8957a8ea065f82afaa9bbfa81,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x5828782f91bca9f4e1905b10b26a7af398b30f2684d55e9d878d1e42b3d3c2f5,"['dvpc', 'dc']","[nan, nan]"
0x58ed9d648689b1dd37c398f3422e10e5e970eee9f9f847b34eb5ea86421c3ada,"['dvpc', 'transfer']","[nan, '1311840436326737696600710']"
0x593e59564117a4a1a5ac5ec69f41e4aba4786b296a6da90f00f37a1e296420fd,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x5ab3c5c4efb1e301abb7f82071784174f7e3797db051fe4271e4415726fbcebd,"['dvpc', 'transfer']","[nan, '44150904559368145026192']"
0x5be5c0f25fa4234041884bd86ca768ab8889238ad8917f2ebb9a47f42f3b5d99,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '30000000000000000000000', '30000000000000000000000']"
0x5c31a57b775dca330d3ef60a163cc4dc1c5802b25ba005f9a33088aacd142b2f,"['dvpc', 'transfer']","[nan, '172722179942499577202774']"
0x5d264fd66774323a0d5d477453b5163483e4b10ea846d72b100045ed9e4075ac,"['dvpc', 'transfer']","[nan, '129220380000000000000000']"
0x5d32f07c1dd23ee07804181db03e74cb4820221f4f16a6f0bfbccbec66882c0b,"['dvpc', 'transfer']","[nan, '24669274084670947561771']"
0x5e96da5de431c652b1e2b46481944978ded0011351f207b1a0ee984bf16afa9d,"['dvpc', 'transfer']","[nan, '82868219171519983892228']"
0x5e9a797ae02da4d1556278ca1177e67fcc4dce3ff70b6642f6f1efa817dd9327,"['dvpc', 'transfer']","[nan, '7059129785014730432']"
0x5ea4c112a20b5bb2ec26de3632295579f2dc621af021370f3afe1bc3da466b14,"['dvpc', 'transfer']","[nan, '25162387874052007712975']"
